;Ubs,V;Ibs,A;Isun,A;RKPT,b;Sst0x,b;Sst1x,b;Ipt0,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;Mag0F;Mag10;Mag11;Mag12;Mag13;Mag14;Mag15;Mag16;Isp1,A;Isp2,A;Isp3,A;Isp4,A;Isp5,A;Isp6,A;Isp7,A;Isp8,A;Mag07;Mag08;Mag09;Mag0A;Mag0B;Mag0C;Mag0D;Mag0E;Mag03;Mag04;Mag05;Mag06;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TDS11,C;TDS12,C;TGbv,C;TDS14,C;TDS15,C;TNap,C;TDS17,C;TDS18,C;TPrd2,C;TDS20,C;TDS21,C;TPrd1,C;TDS23,C;TDS24,C;iTMO,s;iTMD,s;U-chCAN;SSoTR,b;STDS12,b;STDS34,b;res0;U-MAG,o;U-KPT1,o;U-KPT2,o;U-InfGBV;U-GBV,o;U-InfNAP;TmUpr,b;RKwit,b;Rmorz,b;IntK_TM;RPrd1,b;RPrm1,b;RPrd2,b;RPrm2,b;FPrd1,V;RPrd1,V;FPrd2,V;RPrd2,V;SPrm1,V;SPrm2,V;VP,d;ShKom,d;Kmnd,d;God,h;Mes,h;Den,h;Chas,h;Min,h;Sec
0:00:10;14,69;0,24;0,35;1000000;110;0;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,31;0,05;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;13;11;-2;1;7;12;6;3;41;-1;10;14;13;13;16;16;16;16;16;15;17;17;17;25;D5;D4;19;D2;D1;19;CF;CE;19;CC;CB;19;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,90;1,18;25;226;2050;14;5;9;0;0;10
0:01:10;14,76;0,21;0,21;1000000;110;0;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,23;0,03;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;14;12;-2;1;7;14;7;5;43;-1;13;14;15;11;16;16;16;16;16;15;17;17;17;24;D5;D4;19;D2;D1;19;CF;CE;19;CC;CB;18;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,93;1,02;25;226;2050;14;5;9;0;1;10
0:02:10;14,76;0,21;0,19;1000000;110;0;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,12;0,07;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;14;12;-2;1;8;14;7;5;43;-1;12;16;15;14;16;16;16;16;16;15;18;17;17;24;D5;D4;19;D2;D1;19;CF;CE;19;CC;CB;18;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,93;1,12;25;226;2050;14;5;9;0;2;10
0:03:10;14,76;0,24;0,32;1000000;110;0;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,20;0,12;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;14;12;-2;2;8;14;7;5;43;-1;13;16;17;13;16;16;16;16;16;15;18;18;17;24;D5;D4;19;D2;D1;19;CF;CE;19;;CB;18;C9;20;60;180;0;111;;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,91;1,09;25;226;2050;14;5;9;0;3;10
0:04:10;14,83;0,21;0,67;1000000;110;0;0,00;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,20;0,47;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;16;14;-2;1;8;15;7;5;43;-1;13;16;17;14;16;16;16;16;16;15;18;18;17;24;D5;D4;19;D2;D1;18;CF;CE;19;CC;CB;18;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,91;1,06;25;226;2050;14;5;9;0;4;10
0:05:10;14,69;0,21;0,00;1000000;110;0;0,00;0,11;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;16;14;-2;2;8;15;9;5;43;-1;15;17;17;13;16;16;16;16;16;16;18;18;17;24;D5;D4;19;D2;D1;18;CF;CE;19;CC;CB;18;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,90;1,14;25;226;2050;14;5;9;0;5;10
0:06:10;14,63;0,21;0,00;1000000;110;0;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;16;14;-2;2;10;15;9;6;43;1;15;17;17;14;16;16;16;16;16;16;18;18;17;24;D5;D4;19;D2;D1;18;CF;CE;19;CC;CB;19;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,90;1,17;25;226;2050;14;5;9;0;6;10
0:07:10;14,56;0,24;0,00;1000000;110;0;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;16;14;-2;2;11;15;9;6;41;1;17;17;18;14;16;16;16;16;16;16;18;18;17;24;D5;D4;19;D2;D1;18;CF;CE;19;CC;CB;19;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,91;0,98;25;226;2050;14;5;9;0;7;10
0:08:10;14,56;0,21;0,00;1000000;110;0;0,00;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;17;15;0;2;11;17;10;6;43;1;15;19;18;16;16;16;16;16;16;16;18;18;18;24;D5;D4;19;D2;D1;18;CF;CE;19;CC;CB;19;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,90;0,98;25;226;2050;14;5;9;0;8;10
0:09:10;14,69;0,24;0,85;1000000;110;0;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;A0;86;40;B4;D0;3D;11;11;0,00;0,00;0,11;0,76;0,00;0,00;0,00;0,00;7;3A;50;9B;30;3E;C0;70;0E;5;6;17;20;20;17;15;0;2;11;17;10;8;41;1;17;19;18;14;16;16;16;16;16;16;18;18;18;24;D5;D4;19;D2;D1;18;CF;CE;19;CC;CB;19;C9;20;60;180;0;111;0;0;EF;625;535;575;700;460;770;0;10010000;0;1000101;11;10010;111;110;0,00;0,00;0,00;0,00;0,94;0,96;25;226;2050;14;5;9;0;9;10
0:10:10;11,28;4,53;3,84;10010000;10010000;10010000;3,20;3,20;3,24;3,24;3,24;3,38;4,73;4,71;3,27;4,67;4,64;3,24;4,60;4,58;3,27;4,53;CB;93;C9;94;3C;B4;0;7;0,00;0,00;3,19;1,99;1,24;1,67;2,56;0,64;F8;0;90;0;45;3;12;7;6;0;0;0;-257;-169;-145;-236;-199;4;-230;-178;-206;-229;-242;-257;-231;-231;101;-242;-96;-64;-122;-128;-128;-125;-125;-128;-128;-128;0;0;-128;0;0;-128;0;0;-128;0;A0;6;40;52;208;61;10001;10001;0;0;8;471;400;400;400;400;407;111010;1010000;10011011;110000;111110;11000000;1110000;1110;0,08;0,10;0,37;2,77;2,77;2,78;44450;164;125256;A9;A8;BA;A1;AB;AC
0:11:10;11,28;4,51;3,84;10010000;10010000;10010000;3,20;3,20;3,24;3,24;3,24;3,38;4,73;4,71;3,27;4,67;4,64;3,24;4,60;4,58;0,00;4,53;CB;93;C9;94;3C;B4;0;7;0,00;0,00;3,19;1,99;1,24;1,67;2,56;0,64;F8;0;90;0;45;3;12;7;6;0;0;0;-257;-161;-147;-236;-199;92;-230;-178;-206;-229;-242;-257;-230;-231;105;-243;-83;-64;-122;-128;-128;16;-125;-128;-128;-128;0;0;-128;0;0;-128;0;0;-128;0;A0;6;40;52;208;61;10001;10001;0;0;4;503;401;407;401;410;407;111010;1010000;10011011;110000;111110;11000000;1110000;1110;0,08;0,10;0,37;2,77;2,77;2,78;44450;165;125256;A9;A8;BA;A2;AA;AC
